datetime,signal,instrument,strike,entry,exit,pnl
2023-01-27 11:20:00+05:30,1,NIFTY02FEB2317700CE,17700.0,191.15,188.9,-2.25
2023-01-27 11:35:00+05:30,-1,NIFTY02FEB2317650CE,17650.0,211.05,214.95,-3.8999999999999773
2023-01-27 12:05:00+05:30,1,NIFTY02FEB2317650CE,17650.0,203.65,199.55,-4.099999999999994
2023-01-27 12:15:00+05:30,-1,NIFTY02FEB2317650CE,17650.0,186.0,187.4,-1.4000000000000057
2023-01-27 12:55:00+05:30,1,NIFTY02FEB2317550CE,17550.0,221.95,226.3,4.350000000000023
2023-01-27 13:40:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,212.4,212.45,-0.04999999999998295
2023-01-27 13:45:00+05:30,1,NIFTY02FEB2317550CE,17550.0,210.75,214.1,3.3499999999999943
2023-01-27 13:55:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,193.65,204.3,-10.650000000000006
2023-01-27 14:35:00+05:30,1,NIFTY02FEB2317550CE,17550.0,195.35,189.5,-5.849999999999994
2023-01-30 09:20:00+05:30,-1,NIFTY02FEB2317450CE,17450.0,231.3,302.25,-70.94999999999999
2023-01-30 09:30:00+05:30,1,NIFTY02FEB2317650CE,17650.0,222.85,230.1,7.25
2023-01-30 09:50:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,215.6,216.85,-1.25
2023-01-30 11:15:00+05:30,1,NIFTY02FEB2317600CE,17600.0,168.9,169.3,0.4000000000000057
2023-01-30 11:20:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,198.15,201.6,-3.4499999999999886
2023-01-30 11:30:00+05:30,1,NIFTY02FEB2317550CE,17550.0,195.0,195.2,0.19999999999998863
2023-01-30 11:35:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,194.95,196.25,-1.3000000000000114
2023-01-30 11:50:00+05:30,1,NIFTY02FEB2317550CE,17550.0,194.25,200.25,6.0
2023-01-30 12:25:00+05:30,-1,NIFTY02FEB2317550CE,17550.0,204.0,203.95,0.05000000000001137
2023-01-30 13:30:00+05:30,1,NIFTY02FEB2317500CE,17500.0,192.35,183.75,-8.599999999999994
2023-01-30 13:45:00+05:30,-1,NIFTY02FEB2317450CE,17450.0,195.7,198.8,-3.1000000000000227
2023-01-30 14:05:00+05:30,1,NIFTY02FEB2317450CE,17450.0,227.6,225.85,-1.75
2023-01-31 09:25:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,189.9,195.9,-6.0
2023-01-31 10:30:00+05:30,1,NIFTY02FEB2317600CE,17600.0,185.4,182.95,-2.450000000000017
2023-01-31 11:05:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,159.6,157.0,2.5999999999999943
2023-01-31 11:25:00+05:30,1,NIFTY02FEB2317600CE,17600.0,168.6,169.75,1.1500000000000057
2023-01-31 12:15:00+05:30,-1,NIFTY02FEB2317600CE,17600.0,169.0,173.75,-4.75
2023-01-31 12:35:00+05:30,1,NIFTY02FEB2317650CE,17650.0,157.75,156.85,-0.9000000000000057
2023-01-31 12:55:00+05:30,-1,NIFTY02FEB2317650CE,17650.0,151.85,150.05,1.799999999999983
2023-01-31 13:15:00+05:30,1,NIFTY02FEB2317650CE,17650.0,167.05,169.65,2.5999999999999943
2023-01-31 13:55:00+05:30,-1,NIFTY02FEB2317700CE,17700.0,141.0,135.5,5.5
2023-01-31 14:50:00+05:30,1,NIFTY02FEB2317650CE,17650.0,159.65,167.2,7.549999999999983
2023-02-01 09:40:00+05:30,-1,NIFTY02FEB2317750CE,17750.0,149.3,152.7,-3.3999999999999773
2023-02-01 10:20:00+05:30,1,NIFTY02FEB2317800CE,17800.0,132.6,129.2,-3.4000000000000057
2023-02-01 10:40:00+05:30,-1,NIFTY02FEB2317800CE,17800.0,137.25,138.75,-1.5
2023-02-01 11:05:00+05:30,1,NIFTY02FEB2317800CE,17800.0,151.7,156.3,4.600000000000023
2023-02-01 11:15:00+05:30,-1,NIFTY02FEB2317800CE,17800.0,135.25,133.8,1.4499999999999886
2023-02-01 11:45:00+05:30,1,NIFTY02FEB2317800CE,17800.0,123.2,125.95,2.75
2023-02-01 12:10:00+05:30,-1,NIFTY02FEB2317800CE,17800.0,122.5,122.8,-0.29999999999999716
2023-02-01 12:25:00+05:30,1,NIFTY02FEB2317800CE,17800.0,150.8,162.6,11.799999999999983
2023-02-01 13:10:00+05:30,-1,NIFTY02FEB2317950CE,17950.0,86.95,85.7,1.25
2023-02-01 15:05:00+05:30,1,NIFTY02FEB2317500CE,17500.0,144.75,158.9,14.150000000000006
2023-02-02 09:20:00+05:30,-1,NIFTY02FEB2317500CE,17500.0,69.5,67.5,2.0
2023-02-02 09:35:00+05:30,1,NIFTY02FEB2317600CE,17600.0,61.05,59.85,-1.1999999999999957
